Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,066037,1999,27.5,26.3,26.0,21.0,20.9,17.6,17.4,18.6,20.7,23.2,22.4,24.2,22.1
IDCJAC0002,066037,2000,24.9,28.2,25.2,22.8,19.9,17.1,17.6,18.4,22.8,22.9,23.3,28.0,22.6
IDCJAC0002,066037,2001,27.9,27.0,25.4,23.6,19.0,19.3,16.8,18.9,21.9,23.8,23.3,26.6,22.8
IDCJAC0002,066037,2002,26.8,25.1,25.2,23.7,19.5,18.4,17.9,19.0,22.9,24.6,25.9,25.9,22.9
IDCJAC0002,066037,2003,27.6,27.2,24.6,21.9,20.3,19.5,17.4,18.9,22.4,21.2,22.9,26.5,22.5
IDCJAC0002,066037,2004,27.8,27.8,25.6,23.8,20.6,19.8,17.4,19.3,21.4,23.3,25.7,26.1,23.2
IDCJAC0002,066037,2005,27.0,27.4,23.8,25.2,20.4,19.3,18.7,19.6,20.7,24.4,24.8,29.5,23.4
IDCJAC0002,066037,2006,28.0,27.9,26.8,23.7,19.9,16.4,17.3,19.0,22.9,24.4,25.0,25.0,23.0
IDCJAC0002,066037,2007,27.5,26.8,26.3,22.8,22.7,16.7,16.8,20.1,21.0,25.8,23.7,25.4,23.0
IDCJAC0002,066037,2008,27.0,24.6,25.6,21.1,20.2,18.7,17.1,17.3,21.7,24.0,24.1,27.0,22.4
IDCJAC0002,066037,2009,28.7,26.1,26.2,22.6,20.4,18.3,18.1,21.5,23.5,21.9,27.2,26.4,23.4
IDCJAC0002,066037,2010,28.0,28.1,26.7,24.2,20.4,17.5,16.8,18.3,21.1,22.6,24.1,26.7,22.9
IDCJAC0002,066037,2011,28.1,29.0,26.3,22.5,19.1,18.0,17.2,19.4,21.7,21.9,25.9,22.6,22.6
IDCJAC0002,066037,2012,26.9,26.1,24.9,23.6,20.4,17.7,17.3,19.9,22.6,23.7,24.4,26.9,22.9
IDCJAC0002,066037,2013,28.3,26.5,27.0,23.5,21.1,18.2,19.6,21.2,25.2,26.1,24.7,27.3,24.1
IDCJAC0002,066037,2014,27.9,26.8,26.8,23.6,22.6,19.4,18.8,17.3,21.5,25.0,26.3,27.3,23.6
IDCJAC0002,066037,2015,28.3,27.4,26.8,22.6,20.7,18.4,17.2,19.5,20.3,26.0,26.8,27.0,23.4
IDCJAC0002,066037,2016,27.9,28.4,27.0,24.8,23.4,19.2,19.0,19.2,21.5,24.0,26.4,28.8,24.1
IDCJAC0002,066037,2017,30.1,29.0,25.9,23.5,21.1,18.1,19.4,19.4,24.1,24.7,24.7,29.3,24.1
IDCJAC0002,066037,2018,29.2,27.8,27.3,26.2,21.8,17.8,20.4,19.3,21.1,22.3,25.3,28.4,23.9
IDCJAC0002,066037,2019,30.6,28.0,27.4,24.8,22.6,18.2,19.9,19.3,22.2,25.2,27.2,28.5,24.5
IDCJAC0002,066037,2020,29.0,27.5,25.5,24.8,20.0,18.5,17.7,19.4,23.0,24.3,26.7,26.2,23.6
IDCJAC0002,066037,2021,27.6,25.9,24.9,23.8,20.6,18.1,18.1,20.4,22.3,23.9,22.6,25.6,22.8
IDCJAC0002,066037,2022,27.5,26.8,24.4,23.5,21.0,17.8,17.1,19.6,20.1,22.7,23.9,24.9,22.4
IDCJAC0002,066037,2023,26.6,27.8,28.4,22.9,20.1,19.4,20.0,20.2,23.5,25.3,24.8,27.5,23.9
IDCJAC0002,066037,2024,28.4,28.1,27.3,23.3,20.0,17.5,17.5,21.2,23.3,23.3,26.5,28.7,23.8
IDCJAC0002,066037,2025,27.4,27.9,27.6,24.5,20.8,17.9,null,null,null,null,null,null,null
